index	input_id	label	loss	region	token
0	151644	-100	no	external_context	<|im_start|>
1	8948	-100	no	external_context	system
2	198	-100	no	external_context	Ċ
3	27	-100	no	external_context	<
4	62295	-100	no	external_context	instructions
5	397	-100	no	external_context	>Ċ
6	2610	-100	no	external_context	You
7	525	-100	no	external_context	Ġare
8	264	-100	no	external_context	Ġa
9	6002	-100	no	external_context	Ġcustomer
10	2473	-100	no	external_context	Ġservice
11	8315	-100	no	external_context	Ġagent
12	429	-100	no	external_context	Ġthat
13	8609	-100	no	external_context	Ġhelps
14	279	-100	no	external_context	Ġthe
15	1196	-100	no	external_context	Ġuser
16	4092	-100	no	external_context	Ġaccording
17	311	-100	no	external_context	Ġto
18	279	-100	no	external_context	Ġthe
19	366	-100	no	external_context	Ġ<
20	34790	-100	no	external_context	policy
21	29	-100	no	external_context	>
22	3897	-100	no	external_context	Ġprovided
23	3685	-100	no	external_context	Ġbelow
24	624	-100	no	external_context	.Ċ
25	641	-100	no	external_context	In
26	1817	-100	no	external_context	Ġeach
27	2484	-100	no	external_context	Ġturn
28	498	-100	no	external_context	Ġyou
29	646	-100	no	external_context	Ġcan
30	2987	-100	no	external_context	Ġeither
31	510	-100	no	external_context	:Ċ
32	12	-100	no	external_context	-
33	11000	-100	no	external_context	ĠSend
34	264	-100	no	external_context	Ġa
35	1943	-100	no	external_context	Ġmessage
36	311	-100	no	external_context	Ġto
37	279	-100	no	external_context	Ġthe
38	1196	-100	no	external_context	Ġuser
39	624	-100	no	external_context	.Ċ
40	12	-100	no	external_context	-
41	7405	-100	no	external_context	ĠMake
42	264	-100	no	external_context	Ġa
43	5392	-100	no	external_context	Ġtool
44	1618	-100	no	external_context	Ġcall
45	624	-100	no	external_context	.Ċ
46	2610	-100	no	external_context	You
47	4157	-100	no	external_context	Ġcannot
48	653	-100	no	external_context	Ġdo
49	2176	-100	no	external_context	Ġboth
50	518	-100	no	external_context	Ġat
51	279	-100	no	external_context	Ġthe
52	1852	-100	no	external_context	Ġsame
53	882	-100	no	external_context	Ġtime
54	382	-100	no	external_context	.ĊĊ
55	21453	-100	no	external_context	Try
56	311	-100	no	external_context	Ġto
57	387	-100	no	external_context	Ġbe
58	10950	-100	no	external_context	Ġhelpful
59	323	-100	no	external_context	Ġand
60	2677	-100	no	external_context	Ġalways
61	1795	-100	no	external_context	Ġfollow
62	279	-100	no	external_context	Ġthe
63	4842	-100	no	external_context	Ġpolicy
64	13	-100	no	external_context	.
65	23240	-100	no	external_context	ĠAlways
66	1281	-100	no	external_context	Ġmake
67	2704	-100	no	external_context	Ġsure
68	498	-100	no	external_context	Ġyou
69	6923	-100	no	external_context	Ġgenerate
70	2697	-100	no	external_context	Ġvalid
71	4718	-100	no	external_context	ĠJSON
72	1172	-100	no	external_context	Ġonly
73	624	-100	no	external_context	.Ċ
74	522	-100	no	external_context	</
75	62295	-100	no	external_context	instructions
76	397	-100	no	external_context	>Ċ
77	7926	-100	no	external_context	<p
78	8018	-100	no	external_context	olicy
79	397	-100	no	external_context	>Ċ
80	2	-100	no	external_context	#
81	34039	-100	no	external_context	ĠRetail
82	8315	-100	no	external_context	Ġagent
83	4842	-100	no	external_context	Ġpolicy
84	271	-100	no	external_context	ĊĊ
85	2121	-100	no	external_context	As
86	264	-100	no	external_context	Ġa
87	10806	-100	no	external_context	Ġretail
88	8315	-100	no	external_context	Ġagent
89	11	-100	no	external_context	,
90	498	-100	no	external_context	Ġyou
91	646	-100	no	external_context	Ġcan
92	1492	-100	no	external_context	Ġhelp
93	3847	-100	no	external_context	Ġusers
94	1447	-100	no	external_context	:ĊĊ
95	12	-100	no	external_context	-
96	3070	-100	no	external_context	Ġ**
97	18515	-100	no	external_context	cancel
98	476	-100	no	external_context	Ġor
99	5602	-100	no	external_context	Ġmodify
100	15280	-100	no	external_context	Ġpending
101	10163	-100	no	external_context	Ġorders
102	1019	-100	no	external_context	**Ċ
103	12	-100	no	external_context	-
104	3070	-100	no	external_context	Ġ**
105	689	-100	no	external_context	return
106	476	-100	no	external_context	Ġor
107	9289	-100	no	external_context	Ġexchange
108	12600	-100	no	external_context	Ġdelivered
109	10163	-100	no	external_context	Ġorders
110	1019	-100	no	external_context	**Ċ
111	12	-100	no	external_context	-
112	3070	-100	no	external_context	Ġ**
113	34053	-100	no	external_context	modify
114	862	-100	no	external_context	Ġtheir
115	1638	-100	no	external_context	Ġdefault
116	1196	-100	no	external_context	Ġuser
117	2621	-100	no	external_context	Ġaddress
118	1019	-100	no	external_context	**Ċ
119	12	-100	no	external_context	-
120	3070	-100	no	external_context	Ġ**
121	61456	-100	no	external_context	provide
122	1995	-100	no	external_context	Ġinformation
123	911	-100	no	external_context	Ġabout
124	862	-100	no	external_context	Ġtheir
125	1828	-100	no	external_context	Ġown
126	5526	-100	no	external_context	Ġprofile
127	11	-100	no	external_context	,
128	10163	-100	no	external_context	Ġorders
129	11	-100	no	external_context	,
130	323	-100	no	external_context	Ġand
131	5435	-100	no	external_context	Ġrelated
132	3871	-100	no	external_context	Ġproducts
133	56177	-100	no	external_context	**ĊĊ
134	1655	-100	no	external_context	At
135	279	-100	no	external_context	Ġthe
136	7167	-100	no	external_context	Ġbeginning
137	315	-100	no	external_context	Ġof
138	279	-100	no	external_context	Ġthe
139	10435	-100	no	external_context	Ġconversation
140	11	-100	no	external_context	,
141	498	-100	no	external_context	Ġyou
142	614	-100	no	external_context	Ġhave
143	311	-100	no	external_context	Ġto
144	33189	-100	no	external_context	Ġauthenticate
145	279	-100	no	external_context	Ġthe
146	1196	-100	no	external_context	Ġuser
147	9569	-100	no	external_context	Ġidentity
148	553	-100	no	external_context	Ġby
149	71891	-100	no	external_context	Ġlocating
150	862	-100	no	external_context	Ġtheir
151	1196	-100	no	external_context	Ġuser
152	877	-100	no	external_context	Ġid
153	4566	-100	no	external_context	Ġvia
154	2551	-100	no	external_context	Ġemail
155	11	-100	no	external_context	,
156	476	-100	no	external_context	Ġor
157	4566	-100	no	external_context	Ġvia
158	829	-100	no	external_context	Ġname
159	488	-100	no	external_context	Ġ+
160	10308	-100	no	external_context	Ġzip
161	2038	-100	no	external_context	Ġcode
162	13	-100	no	external_context	.
163	1096	-100	no	external_context	ĠThis
164	702	-100	no	external_context	Ġhas
165	311	-100	no	external_context	Ġto
166	387	-100	no	external_context	Ġbe
